Business Name,Phone,Email,Website,Address,City,Rating,Review Count,Quality Score,Extraction Status,Emails Found,GPS Status,Hours Status,Place ID,CID
Kd Property And Developers Pvt. Ltd.,085628 81234,info@kdpropertypvtltd.com,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,3.9,11,68,✅ SUCCESS,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,1856082536750129000,1856082536750129000
Kd Property And Developers Pvt. Ltd.,085628 81234,info@kdpropertypvtltd.com,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,3.9,11,68,✅ SUCCESS,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,1856082536750129000,1856082536750129000
Kd Property And Developers Pvt. Ltd.,085628 81234,info@kdpropertypvtltd.com,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,3.9,11,68,✅ SUCCESS,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,1856082536750129000,1856082536750129000
Kd Property And Developers Pvt. Ltd.,085628 81234,info@kdpropertypvtltd.com,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,3.9,11,68,✅ SUCCESS,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,1856082536750129000,1856082536750129000
Kd Property And Developers Pvt. Ltd.,085628 81234,info@kdpropertypvtltd.com,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,3.9,11,68,✅ SUCCESS,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,1856082536750129000,1856082536750129000
Kd Property And Developers Pvt. Ltd.,085628 81234,info@kdpropertypvtltd.com,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,3.9,11,68,✅ SUCCESS,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,1856082536750129000,1856082536750129000
Kd Property And Developers Pvt. Ltd.,085628 81234,info@kdpropertypvtltd.com,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,3.9,11,73,✅ SUCCESS,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,1856082536750129000,1856082536750129000
Kd Property And Developers Pvt. Ltd.,085628 81234,info@kdpropertypvtltd.com,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,3.9,11,68,✅ SUCCESS,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,1856082536750129000,1856082536750129000
Kd Property And Developers Pvt. Ltd.,085628 81234,info@kdpropertypvtltd.com,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,3.9,11,81,✅ SUCCESS,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,1856082536750129000,1856082536750129000
Kd Property And Developers Pvt. Ltd.,085628 81234,info@kdpropertypvtltd.com,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,3.9,11,73,✅ SUCCESS,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,1856082536750129000,1856082536750129000
