firstname,lastname,company,phone,email,website,address,city,country,hs_lead_status,rating,review_count,quality_score,extraction_method,extraction_date
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976344
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976378
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976395
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976409
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976422
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976435
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976449
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976461
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,81,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976474
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976487
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976500
Kd,Property And Developers Pvt. Ltd.,Kd Property And Developers Pvt. Ltd.,085628 81234,,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,NEW,3.9,11,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976513
